turma,total_aulas,num_disciplinas,num_professores,turno,aulas_por_dia
1i01 EM-HUM,35,17,17,Intermediario,7
1i01 EM-IPI,35,16,16,Intermediario,7
1i02 EM-HUM,35,17,17,Intermediario,7
1i03 EM-HUM,35,17,17,Intermediario,7
2i01 EM-ADM,35,17,17,Intermediario,7
2i01 EM-HUM,35,17,17,Intermediario,7
2i01 EM-IPI,35,17,17,Intermediario,7
2i02 EM-IPI,35,17,17,Intermediario,7
3i01 EM-ADM,35,17,17,Intermediario,7
3i01 EM-HUM,35,17,17,Intermediario,7
3i01 EM-IPI,35,16,16,Intermediario,7
3i02 EM-ADM,35,17,17,Intermediario,7
